pinkyProximal,pinkyMedial,ringProximal,ringMedial,middleProximal,middleMedial,indexProximal,indexMedial,thumbProximal,thumbMedial,gesture
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4805129,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7612453,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7621244,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7630036,0.4808059,0.991282,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7632966,0.4808059,0.9918681,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7632966,0.4808059,0.9918681,0.3624176,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7632966,0.4808059,0.9918681,0.3638828,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7632966,0.4808059,0.9918681,0.3641759,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7635897,0.4808059,0.9930403,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7638827,0.4808059,0.9933333,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7644688,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7673992,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7676922,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,0,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,0,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,0,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6560439,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.656337,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.65663,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6575091,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6578022,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6583882,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6586813,1,0.6868134,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6598534,1,0.6917951,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8183883,Fist
0.6604395,1,0.6941394,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8186814,Fist
0.6610256,1,0.6964837,0.6557509,0.7682783,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8186814,Fist
0.6613186,1,0.6967767,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4769963,1,0.8201466,Fist
0.6621977,1,0.6970698,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4781685,1,0.8207327,Fist
0.6621977,1,0.6970698,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4781685,1,0.8207327,Fist
0.6633699,1,0.6970698,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4781685,1,0.8216118,Fist
0.6651281,1,0.6970698,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4781685,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7685714,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4781685,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7691575,0.481685,0.9927472,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7720879,0.481685,0.9933333,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7723809,0.481685,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.772967,0.4822711,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.772967,0.4825641,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7738461,0.4825641,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9936264,0.3647619,1,1,Fist
0.8948718,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9939194,0.3647619,1,1,Fist
0.8954579,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9947985,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6970698,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6976558,0.6557509,0.7744322,0.4825641,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6976558,0.6557509,0.7744322,0.4828572,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6976558,0.6557509,0.7744322,0.4828572,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6545787,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6976558,0.6557509,0.7744322,0.4840293,0.9945055,0.3647619,1,1,Fist
0.8960439,1,1,0.6554579,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6976558,0.6557509,0.7744322,0.4849084,0.9953846,0.3647619,1,1,Fist
0.8960439,1,1,0.6572161,1,0.7454212,1,0.4778755,1,0.8224909,Fist
0.6663003,1,0.6976558,0.6572161,0.7744322,0.4863736,0.9965568,0.3647619,1,0.9922345,Fist
0.8960439,1,1,0.6595604,1,0.7463003,1,0.4778755,1,0.8224909,Fist
0.6493039,1,0.6660075,0.6580952,0.7744322,0.4895971,0.998608,0.3647619,1,0.9588278,Fist
0.8893039,1,1,0.663956,1,0.7463003,1,0.4778755,1,0.8224909,Fist
0.6138462,1,0.6367033,0.6607326,0.7785347,0.4945788,1,0.3647619,1,0.9098169,Fist
0.8336263,1,1,0.6701099,1,0.7463003,1,0.4778755,1,0.8012455,Fist
0.6009524,1,0.6317216,0.6619048,0.7770695,0.496044,1,0.3647619,1,0.8928205,Fist
0.7785348,1,1,0.6730403,1,0.7463003,1,0.4778755,1,0.7615385,Fist
0.5965568,1,0.6299634,0.6616117,0.7770695,0.4954579,1,0.3647619,1,0.8881319,Fist
0.7747253,1,1,0.6730403,1,0.7463003,1,0.4778755,1,0.7449818,Fist
0.5918681,1,0.6299634,0.6619048,0.7770695,0.4954579,1,0.3647619,1,0.8813919,Fist
0.7712088,1,1,0.6727473,1,0.7463003,1,0.4778755,1,0.7301832,Fist
0.583663,1,0.6214652,0.6619048,0.7630036,0.4954579,1,0.3647619,1,0.8720146,Fist
0.7662271,1,1,0.6724542,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5789744,1,0.6173626,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8696703,Fist
0.7630036,1,1,0.6724542,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6161905,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7630036,1,1,0.6724542,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6161905,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7630036,1,1,0.6724542,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6161905,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7630036,1,1,0.6736264,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6161905,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7471795,1,1,0.6727473,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6161905,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7457143,1,1,0.6727473,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6093041,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7457143,1,1,0.6727473,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.5769231,1,0.6093041,0.6619048,0.7495238,0.4954579,1,0.3647619,1,0.8693773,Fist
0.7457143,1,1,0.6727473,1,0.7463003,1,0.4778755,1,0.7168499,Fist
0.532674,1,0.8641026,0.322271,0.4345055,0,1,0.6405128,1,0.07992674,MiddleFinger
0.4608791,0.6613187,1,0.4623443,0.6753846,0.04300366,1,0.6891575,1,0.2073993,MiddleFinger
0.532674,1,0.8579487,0.3231502,0.4345055,0,1,0.6437362,1,0.08080586,MiddleFinger
0.4708425,0.6686447,1,0.4936997,0.6753846,0.04271062,1,0.7152381,1,0.212967,MiddleFinger
0.532674,1,0.8594139,0.3234432,0.4345055,0,1,0.6449084,1,0.08139194,MiddleFinger
0.474359,0.6712821,1,0.5016117,0.6753846,0.04241758,1,0.7222711,1,0.2147253,MiddleFinger
0.532674,1,0.8620513,0.3243223,0.4345055,0,1,0.6469597,1,0.08373626,MiddleFinger
0.4834432,0.6733333,1,0.5136264,0.6753846,0.04212454,1,0.7298901,1,0.2176557,MiddleFinger
0.532674,1,0.8620513,0.3234432,0.4345055,0,1,0.6463736,1,0.08578754,MiddleFinger
0.4945787,0.6747985,1,0.5244689,0.6762637,0.0418315,1,0.7316483,1,0.2232234,MiddleFinger
0.532674,1,0.8638095,0.3234432,0.4345055,0,1,0.6460806,1,0.08989011,MiddleFinger
0.5089377,0.6797802,1,0.5356044,0.6791942,0.04095238,1,0.7319414,1,0.2279121,MiddleFinger
0.532674,1,0.8635165,0.3234432,0.4345055,0,1,0.6460806,1,0.09018315,MiddleFinger
0.5092308,0.6794872,1,0.5358974,0.6800733,0.04095238,1,0.7319414,1,0.227326,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6460806,1,0.09047619,MiddleFinger
0.510696,0.6803663,1,0.5367766,0.6789011,0.04065934,1,0.7319414,1,0.2279121,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6460806,1,0.09135531,MiddleFinger
0.5133333,0.6818315,1,0.5364835,0.678315,0.0403663,1,0.7328205,1,0.2326007,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6466667,1,0.09604396,MiddleFinger
0.5238828,0.6818315,1,0.5364835,0.685348,0.03978022,1,0.7325275,1,0.2410989,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6466667,1,0.09604396,MiddleFinger
0.5247619,0.6818315,1,0.5364835,0.6862271,0.03978022,1,0.7325275,1,0.241978,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6475458,1,0.09663004,MiddleFinger
0.5262271,0.6838828,1,0.5367766,0.6868132,0.03978022,1,0.7325275,1,0.241978,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6507693,1,0.09838828,MiddleFinger
0.5279853,0.6841758,1,0.5367766,0.6868132,0.03948718,1,0.7325275,1,0.2413919,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6510623,1,0.09956044,MiddleFinger
0.5312088,0.6841758,1,0.5367766,0.6868132,0.03919414,1,0.7325275,1,0.241978,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6501832,1,0.1019048,MiddleFinger
0.532967,0.6838828,1,0.5367766,0.6868132,0.03919414,1,0.7325275,1,0.2443223,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6510623,1,0.1054212,MiddleFinger
0.5335531,0.6838828,1,0.5367766,0.6868132,0.03919414,1,0.7325275,1,0.2478388,MiddleFinger
0.532674,1,0.8632234,0.3234432,0.4345055,0,1,0.6516484,1,0.1065934,MiddleFinger
0.5347252,0.6838828,1,0.5367766,0.6888645,0.03860806,1,0.7325275,1,0.2501832,MiddleFinger
0.532674,1,0.8638095,0.3234432,0.4345055,0,1,0.6519415,1,0.1083516,MiddleFinger
0.5373626,0.6838828,1,0.5367766,0.6900367,0.03860806,1,0.7325275,1,0.2525275,MiddleFinger
0.532674,1,0.8638095,0.3234432,0.4345055,0,1,0.6528206,1,0.1127473,MiddleFinger
0.5417582,0.6838828,1,0.5367766,0.6979488,0.03831502,1,0.7325275,1,0.2531136,MiddleFinger
0.532674,1,0.8638095,0.3234432,0.4345055,0,1,0.6528206,1,0.1150916,MiddleFinger
0.5417582,0.6838828,1,0.5367766,0.699707,0.03831502,1,0.7325275,1,0.2525275,MiddleFinger
0.532674,1,0.8641025,0.3234432,0.4345055,0,1,0.6528206,1,0.1177289,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.707033,0.03831502,1,0.7325275,1,0.2525275,MiddleFinger
0.532674,1,0.8635164,0.3234432,0.4350916,0,1,0.6528206,1,0.1191941,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.7105495,0.03831502,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8635164,0.3234432,0.4353846,0,1,0.6528206,1,0.1230037,MiddleFinger
0.5408791,0.6838828,1,0.5370697,0.7126008,0.03831502,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8635164,0.3234432,0.4353846,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.7155312,0.03831502,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8635164,0.3234432,0.4353846,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.7155312,0.03831502,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8635164,0.3234432,0.4353846,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.7172894,0.03802198,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8635164,0.3234432,0.4353846,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.7167034,0.03802198,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8655676,0.3234432,0.4353846,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5408791,0.6838828,1,0.5367766,0.7167034,0.03802198,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8652746,0.3234432,0.4353846,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5408791,0.6652747,1,0.514066,0.7167034,0.0374359,1,0.7325275,1,0.2525275,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4359707,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5133333,0.6525275,1,0.4852015,0.6941392,0.03655678,1,0.7325275,1,0.245348,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4359707,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5115751,0.6510623,1,0.4837363,0.6929671,0.03655678,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4365568,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5098168,0.6501831,1,0.4825641,0.6929671,0.03655678,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4362637,0,1,0.6536998,1,0.1244689,MiddleFinger
0.5013187,0.6475458,0.9801465,0.481685,0.6929671,0.03538461,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4362637,0,1,0.6536998,1,0.1244689,MiddleFinger
0.4942857,0.6475458,0.9722344,0.481685,0.6929671,0.03479854,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4374359,0,1,0.6536998,1,0.1244689,MiddleFinger
0.4934066,0.6475458,0.9704762,0.481685,0.6929671,0.03450549,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4377289,0,1,0.6536998,1,0.1244689,MiddleFinger
0.489011,0.6475458,0.961685,0.481685,0.6938462,0.03391941,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4368498,0,1,0.6536998,1,0.1244689,MiddleFinger
0.489011,0.6475458,0.9567033,0.481685,0.6929671,0.03362637,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4368498,0,1,0.6536998,1,0.1244689,MiddleFinger
0.489011,0.6475458,0.9523077,0.481685,0.6947253,0.03304029,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4368498,0,1,0.6536998,1,0.1215385,MiddleFinger
0.489011,0.6475458,0.9514286,0.481685,0.6956044,0.03245421,1,0.7325275,1,0.238022,MiddleFinger
0.5329671,1,0.8641024,0.3234432,0.4368498,0,1,0.6536998,1,0.1048352,MiddleFinger
0.489011,0.6475458,0.9514286,0.481685,0.6958975,0.03186813,1,0.7325275,1,0.238022,MiddleFinger
